Locations,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71
11,4,2,5,7,6,6,8,7,8,5,0,5,4,6,4,5,5,8,1,8,5,4,4,5,5,2,5,5,8,12,8,6,8,4,12,1,4,4,6,6,12,6,6,4,6,4,4,18,3,5,8,4,8,7,4,5,7,9,8,8,6,17,8,10,4,10,10,5,3,4,8
12,2,3,1,4,2,2,3,3,4,8,5,0,2,8,1,2,2,3,6,4,2,2,2,2,2,5,2,2,3,9,3,2,4,2,7,6,2,8,2,2,7,2,2,8,2,4,1,14,5,3,3,8,3,9,3,9,4,6,4,4,2,12,3,6,4,7,6,2,2,2,4
13,1,2,2,5,2,2,3,4,5,6,4,2,0,6,1,1,1,4,5,4,1,1,1,2,2,4,2,2,4,10,4,2,4,1,8,5,1,6,4,2,8,4,2,8,2,3,1,15,4,3,4,7,4,6,1,9,5,7,4,4,2,12,4,7,3,8,8,2,2,1,5
14,6,6,8,11,7,7,9,7,6,5,6,8,6,0,8,7,7,7,8,4,6,6,7,7,7,6,7,6,9,17,6,7,10,6,13,7,6,5,10,7,12,10,7,11,7,8,7,21,4,9,6,9,6,1,6,11,12,13,5,4,7,10,9,14,8,15,15,7,7,6,7
15,1,3,1,4,1,1,3,3,5,8,4,1,1,8,0,1,1,4,5,4,1,1,1,1,1,4,1,1,4,10,4,1,4,1,8,5,1,7,3,2,7,3,2,8,1,4,1,14,5,2,4,7,4,8,2,9,5,6,4,4,2,12,3,6,4,8,8,1,2,1,4
16,1,3,2,5,1,1,3,3,4,7,5,2,1,7,1,0,1,3,5,3,1,1,1,1,1,4,1,1,3,10,3,1,3,1,7,6,1,7,3,1,7,4,1,9,1,4,1,16,4,3,3,7,3,7,1,9,5,7,3,4,1,12,3,6,4,8,8,1,2,2,4
17,1,3,1,5,1,1,3,3,4,7,5,2,1,7,1,1,0,4,5,4,1,1,1,1,1,5,1,1,3,10,4,1,4,1,8,5,1,7,3,1,7,3,2,8,1,4,1,14,4,2,4,7,4,8,2,9,5,6,4,4,1,12,3,6,4,8,8,1,2,1,4
18,4,6,3,5,3,3,3,1,2,7,8,3,4,7,4,3,4,0,9,2,3,4,4,3,3,8,3,3,2,11,2,3,4,4,6,8,4,6,4,2,7,4,2,12,3,7,4,15,5,6,1,10,2,7,4,12,5,8,2,2,2,9,2,7,7,9,8,3,5,4,1
19,5,3,5,7,6,6,8,8,9,5,1,6,5,8,5,5,5,9,0,8,6,5,5,6,6,2,6,6,8,13,8,6,8,5,13,2,4,4,7,6,12,6,6,4,6,4,5,17,4,4,8,4,8,8,5,5,7,9,9,8,6,17,8,8,4,11,11,6,3,4,9
20,4,6,4,7,3,3,5,2,2,6,8,4,4,4,4,3,4,2,8,0,3,4,4,3,3,8,3,3,4,13,1,3,6,4,8,9,4,7,6,3,8,6,3,12,3,7,4,17,5,6,2,11,1,5,4,12,7,9,1,1,3,9,4,9,8,11,11,3,6,5,3
21,1,3,2,6,1,1,3,3,4,7,5,2,1,6,1,1,1,3,6,3,0,1,1,1,1,5,1,1,3,10,3,1,4,1,7,6,1,6,4,1,7,4,1,8,1,4,1,15,4,3,3,8,3,6,1,10,6,7,3,4,1,12,3,7,4,8,9,1,3,2,4
22,1,2,2,5,2,2,3,4,5,6,4,2,1,6,1,1,1,4,5,4,1,0,1,2,2,4,2,2,4,10,4,2,4,1,8,4,1,6,4,2,8,4,2,8,2,3,1,16,4,3,4,7,4,7,1,9,5,7,4,4,2,12,4,7,4,8,8,2,2,1,4
23,1,3,2,5,1,1,3,4,5,7,4,2,1,7,1,1,1,4,5,4,1,1,0,1,1,4,1,1,4,10,4,1,4,1,8,5,1,7,4,2,7,4,2,8,1,4,1,15,4,2,4,7,4,7,1,9,5,7,4,4,2,12,4,7,4,8,8,1,2,1,4
24,2,4,2,5,1,1,2,2,4,7,5,2,2,7,1,1,1,3,6,3,1,2,1,0,1,5,1,1,2,10,3,1,3,2,7,6,2,7,3,1,7,4,1,9,1,5,1,16,4,3,3,8,3,7,1,10,5,6,3,3,1,11,2,7,4,8,8,1,3,2,4
25,2,4,2,5,1,1,2,2,4,7,5,2,2,7,1,1,1,3,6,3,1,2,1,1,0,5,1,1,2,11,3,1,3,1,7,6,2,7,4,1,6,4,1,9,1,4,1,15,4,3,3,8,3,7,1,10,5,7,3,3,1,11,2,7,4,8,8,1,3,2,4
26,4,2,4,6,5,5,7,7,8,6,2,5,4,6,4,4,5,8,2,8,5,4,4,5,5,0,5,5,7,11,8,5,8,4,11,2,4,6,6,5,11,5,5,4,5,2,4,16,3,3,8,3,8,6,4,5,6,8,8,8,5,16,8,8,2,10,9,5,2,4,8
27,2,4,2,5,1,1,2,2,4,7,5,2,2,7,1,1,1,3,6,3,1,2,1,1,1,5,0,1,3,10,3,1,3,1,7,6,2,6,4,1,6,4,1,9,1,4,1,14,4,3,3,8,3,8,1,10,5,7,3,3,1,11,2,7,4,8,8,1,3,2,3
28,2,3,2,5,1,1,3,3,4,7,5,2,2,6,1,1,1,3,6,3,1,2,1,1,1,5,1,0,2,10,3,1,4,1,7,6,2,6,4,1,7,4,1,9,1,4,1,16,4,3,3,8,3,7,1,10,5,7,3,3,1,12,2,7,4,9,8,1,3,2,4
29,4,6,3,3,3,2,1,2,3,9,8,3,4,9,4,3,3,2,8,4,3,4,4,2,2,7,3,2,0,8,4,2,2,3,5,8,4,8,2,2,5,2,2,11,2,7,3,13,6,5,3,10,4,9,3,12,3,8,4,4,2,9,1,5,7,6,6,2,5,4,2
30,11,11,9,6,10,11,8,10,12,17,12,9,10,17,10,10,10,11,13,13,10,10,10,10,11,11,10,10,8,0,12,10,8,10,4,14,10,17,8,10,4,7,10,13,10,9,10,5,13,8,10,12,12,18,10,14,6,10,11,13,11,14,8,5,10,2,7,10,10,10,10
31,4,6,3,6,3,3,4,2,2,6,8,3,4,6,4,3,4,2,8,1,3,4,4,3,3,8,3,3,4,12,0,3,5,4,8,9,4,6,4,2,8,5,2,12,3,7,4,17,5,6,1,10,1,6,4,13,6,8,1,1,3,10,4,8,7,10,9,3,5,4,2
32,2,4,1,5,1,1,2,2,4,7,6,2,2,7,1,1,1,3,6,3,1,2,1,1,1,5,1,1,2,10,3,0,3,2,7,6,2,7,3,1,6,4,1,9,1,5,1,15,4,3,3,8,3,7,2,10,5,7,3,3,1,11,2,6,5,8,8,1,3,2,4
33,4,6,3,3,3,3,1,3,4,10,8,4,4,10,4,3,4,4,8,6,4,4,4,3,3,8,3,4,2,8,5,3,0,4,5,8,4,10,2,3,4,3,3,12,3,7,4,12,7,6,4,10,5,10,4,12,3,8,5,6,4,9,2,4,7,6,5,3,6,5,3
34,1,2,2,5,1,1,3,4,5,7,4,2,1,6,1,1,1,4,5,4,1,1,1,2,1,4,1,1,3,10,4,2,4,0,8,5,1,6,3,2,7,4,2,8,2,4,1,15,4,2,4,7,4,8,1,9,5,7,4,4,2,13,3,7,4,8,8,1,2,1,4
35,8,10,8,8,7,7,6,6,7,14,12,7,8,13,8,7,8,6,13,8,7,8,8,7,7,11,7,7,5,4,8,7,5,8,0,12,8,12,6,7,1,7,7,16,7,11,8,9,10,10,7,14,8,13,8,16,7,12,8,8,6,10,5,7,11,2,10,7,9,9,6
36,5,3,5,8,6,6,8,8,10,4,1,6,5,7,5,6,5,8,2,9,6,4,5,6,6,2,6,6,8,14,9,6,8,5,12,0,5,4,7,6,12,7,6,4,6,4,5,18,4,5,8,5,9,7,5,4,8,10,8,8,6,17,8,10,4,12,12,6,4,4,9
37,1,2,2,6,2,2,3,4,5,7,4,2,1,6,1,1,1,4,4,4,1,1,1,2,2,4,2,2,4,10,4,2,4,1,8,5,0,6,4,2,8,4,2,8,2,3,1,15,4,3,4,7,4,7,1,9,6,8,4,4,2,13,4,7,4,8,8,2,2,1,4
38,6,5,7,11,6,7,8,7,7,1,4,8,6,5,7,7,7,6,4,7,6,6,7,7,7,6,6,6,8,17,6,7,10,6,12,4,6,0,10,6,12,10,7,6,7,8,7,20,3,8,6,8,6,5,6,6,11,13,6,7,6,15,8,13,7,14,14,6,6,6,7
39,4,5,2,2,3,3,1,4,5,10,6,2,4,10,3,3,3,4,7,6,4,4,4,3,4,6,4,4,2,8,4,3,2,3,6,7,4,10,0,3,5,1,3,10,3,6,3,12,7,4,4,9,5,10,4,12,2,7,5,6,3,10,2,4,6,6,5,3,4,4,3
40,2,4,2,5,1,1,3,2,4,7,6,2,2,7,2,1,1,2,6,3,1,2,2,1,1,5,1,1,2,10,2,1,3,2,7,6,2,6,3,0,6,4,1,10,1,4,2,16,4,4,2,8,2,7,2,10,5,7,3,3,1,12,2,7,5,9,8,1,3,2,3
41,7,9,6,6,7,7,4,6,8,13,12,7,8,12,7,7,7,7,12,8,7,8,7,7,6,11,6,7,5,4,8,6,4,7,1,12,8,12,5,6,0,6,6,15,6,10,7,9,11,9,7,14,8,13,7,16,6,12,8,8,7,12,4,6,10,2,9,6,9,8,6
42,4,5,3,2,4,4,2,4,5,10,6,2,4,10,3,4,3,4,6,6,4,4,4,4,4,5,4,4,2,7,5,4,3,4,7,7,4,10,1,4,6,0,4,10,4,4,3,12,8,3,4,8,5,11,4,10,2,6,5,6,4,11,2,4,5,5,5,4,4,4,4
43,2,4,1,5,1,1,2,2,4,7,6,2,2,7,2,1,2,2,6,3,1,2,2,1,1,5,1,1,2,10,2,1,3,2,7,6,2,7,3,1,6,4,0,9,1,5,2,14,4,4,2,9,2,8,2,10,5,7,3,3,1,11,2,7,5,8,8,1,3,2,3
44,8,6,8,9,9,9,11,11,12,6,4,8,8,11,8,9,8,12,4,12,8,8,8,9,9,4,9,9,11,13,12,9,12,8,16,4,8,6,10,10,15,10,9,0,9,5,8,16,7,6,11,2,11,11,8,2,9,8,12,11,9,21,11,9,5,15,10,9,7,8,12
45,2,4,1,4,1,1,2,2,4,7,6,2,2,7,1,1,1,3,6,3,1,2,1,1,1,5,1,1,2,10,3,1,3,2,7,6,2,7,3,1,6,4,1,9,0,4,1,15,4,3,3,8,3,7,2,10,5,7,3,3,1,11,2,7,4,8,8,1,3,2,3
46,4,3,4,4,4,4,6,7,8,8,4,4,3,8,4,4,4,7,4,7,4,3,4,5,4,2,4,4,7,9,7,5,7,4,11,4,3,8,6,4,10,4,5,5,4,0,4,14,6,2,7,4,7,8,4,6,5,6,7,7,5,16,7,6,1,9,7,4,2,3,8
47,2,3,1,4,1,1,3,3,5,8,4,1,1,7,1,1,1,4,5,4,1,1,1,1,1,4,1,1,3,10,4,1,4,1,8,5,1,7,3,2,7,3,2,8,1,4,0,15,5,2,4,7,4,8,2,9,5,6,4,4,2,12,3,6,4,8,8,1,2,1,4
48,16,17,14,11,15,16,13,15,16,21,18,14,15,21,14,16,14,15,17,17,15,16,15,16,15,16,14,16,13,5,17,15,12,15,9,18,15,20,12,16,9,12,14,16,15,14,15,0,19,12,16,16,17,22,15,17,11,12,17,17,15,20,14,9,15,7,10,15,15,15,15
49,4,3,5,8,4,4,6,5,6,4,3,5,4,4,5,4,4,5,4,5,4,4,4,4,4,3,4,4,6,13,5,4,7,4,10,4,4,3,7,4,11,8,4,7,4,6,5,19,0,6,5,6,5,4,3,8,9,11,6,6,4,14,6,10,5,12,12,4,4,4,6
50,3,4,3,3,3,3,5,6,7,10,5,3,3,9,2,3,2,6,4,6,3,3,2,3,3,3,3,3,5,8,6,3,6,2,10,5,3,8,4,4,9,3,4,6,3,2,2,12,6,0,6,5,6,9,3,7,3,5,6,6,4,14,5,5,2,8,6,3,2,3,6
51,4,6,3,6,3,3,3,1,2,7,8,3,4,6,4,3,4,1,8,2,3,4,4,3,3,8,3,3,3,10,1,3,4,4,7,8,4,6,4,2,7,4,2,11,3,7,4,16,5,6,0,10,2,7,4,12,6,8,2,2,2,9,3,7,7,9,9,3,5,4,1
52,7,5,8,8,8,8,10,10,12,8,4,8,7,9,7,7,7,10,4,11,8,7,7,8,8,3,8,8,10,12,10,8,10,7,14,5,7,8,9,8,14,8,9,2,8,4,7,16,6,5,10,0,10,9,7,4,8,6,10,11,8,19,10,8,4,14,7,8,5,6,11
53,4,6,3,7,3,3,4,2,2,6,8,3,4,6,4,3,4,2,8,1,3,4,4,3,3,8,3,3,4,12,1,3,5,4,8,9,4,6,5,2,8,5,2,11,3,7,4,17,5,6,2,10,0,6,4,13,6,8,1,1,2,8,4,8,7,10,10,3,6,5,2
54,7,6,8,12,8,7,9,7,6,5,7,9,6,1,8,7,8,7,8,5,6,7,7,7,7,6,8,7,9,18,6,7,10,8,13,7,7,5,10,7,13,11,8,11,7,8,8,22,4,9,7,9,6,0,6,11,12,14,6,5,8,10,9,14,8,16,15,7,7,7,8
55,1,3,2,6,1,1,3,4,5,6,4,3,1,6,2,1,2,4,5,4,1,1,1,1,1,4,1,1,3,10,4,2,4,1,8,5,1,6,4,2,7,4,2,8,2,4,2,15,3,3,4,7,4,6,0,9,6,8,4,4,2,12,4,8,4,9,9,2,2,1,4
56,9,7,10,10,10,10,12,12,14,7,5,9,9,11,9,9,9,12,5,12,10,9,9,10,10,5,10,10,12,14,13,10,12,9,16,4,9,6,12,10,16,10,10,2,10,6,9,17,8,7,12,4,13,11,9,0,10,9,12,13,10,22,12,10,6,16,11,10,8,8,12
57,6,6,4,1,5,5,3,5,6,12,7,4,5,12,5,5,5,5,7,7,6,5,5,5,5,6,5,5,3,6,6,5,3,5,7,8,6,11,2,5,6,2,5,9,5,5,5,11,9,3,6,8,6,12,6,10,0,6,6,7,5,12,3,2,4,6,4,5,5,6,5
58,7,8,6,6,6,7,7,8,10,13,9,6,7,13,6,7,6,8,9,9,7,7,7,6,7,8,7,7,8,10,8,7,8,7,12,10,8,13,7,7,12,6,7,8,7,6,6,12,11,5,8,6,8,14,8,9,6,0,8,9,6,17,8,6,6,10,4,6,7,7,8
59,4,6,3,6,3,3,4,2,1,6,8,4,4,5,4,3,4,2,9,1,3,4,4,3,3,8,3,3,4,11,1,3,5,4,8,8,4,6,5,3,8,5,3,12,3,7,4,17,6,6,2,10,1,6,4,12,6,8,0,1,3,9,4,8,7,10,10,3,6,5,2
60,4,6,4,7,3,3,5,3,1,6,8,4,4,4,4,4,4,2,8,1,4,4,4,3,3,8,3,3,4,13,1,3,6,4,8,8,4,7,6,3,8,6,3,11,3,7,4,17,6,6,2,11,1,5,4,13,7,9,1,0,3,9,5,10,7,10,10,3,6,4,3
61,2,4,2,5,1,1,2,2,4,7,6,2,2,7,2,1,1,2,6,3,1,2,2,1,1,5,1,1,2,11,3,1,4,2,6,6,2,6,3,1,7,4,1,9,1,5,2,15,4,4,2,8,2,8,2,10,5,6,3,3,0,11,2,7,5,8,8,1,3,2,3
62,13,15,12,11,11,12,10,9,8,14,17,12,12,10,12,12,12,9,17,9,12,12,12,11,11,16,11,12,9,14,10,11,9,13,10,17,13,15,10,12,12,11,11,21,11,16,12,20,14,14,9,19,8,10,12,22,12,17,9,9,11,0,9,11,16,13,13,12,14,13,8
63,4,6,3,3,2,3,1,2,4,9,8,3,4,9,3,3,3,2,8,4,3,4,4,2,2,8,2,2,1,8,4,2,2,3,5,8,4,8,2,2,4,2,2,11,2,7,3,14,6,5,3,10,4,9,4,12,3,8,4,5,2,9,0,5,6,6,6,2,5,4,2
64,8,8,6,2,7,6,5,6,8,14,10,6,7,14,6,6,6,7,8,9,7,7,7,7,7,8,7,7,5,5,8,6,4,7,7,10,7,13,4,7,6,4,7,9,7,6,6,9,10,5,7,8,8,14,8,10,2,6,8,10,7,11,5,0,6,6,2,6,6,7,6
65,4,2,4,4,5,5,6,6,8,8,4,4,3,8,4,4,4,7,4,8,4,4,4,4,4,2,4,4,7,10,7,5,7,4,11,4,4,7,6,5,10,5,5,5,4,1,4,15,5,2,7,4,7,8,4,6,4,6,7,7,5,16,6,6,0,10,8,5,2,3,8
66,9,10,8,5,8,8,6,8,10,14,10,7,8,15,8,8,8,9,11,11,8,8,8,8,8,10,8,9,6,2,10,8,6,8,2,12,8,14,6,9,2,5,8,15,8,9,8,7,12,8,9,14,10,16,9,16,6,10,10,10,8,13,6,6,10,0,8,8,8,8,8
67,9,9,7,4,8,8,6,8,10,15,10,6,8,15,8,8,8,8,11,11,9,8,8,8,8,9,8,8,6,7,9,8,5,8,10,12,8,14,5,8,9,5,8,10,8,7,8,10,12,6,9,7,10,15,9,11,4,4,10,10,8,13,6,2,8,8,0,8,8,9,8
68,2,4,1,5,1,1,2,3,4,8,5,2,2,7,1,1,1,3,6,3,1,2,1,1,1,5,1,1,2,10,3,1,3,1,7,6,2,6,3,1,6,4,1,9,1,4,1,15,4,3,3,8,3,7,2,10,5,6,3,3,1,12,2,6,5,8,8,0,3,2,4
69,2,2,2,5,3,3,5,5,7,7,3,2,2,7,2,2,2,5,3,6,3,2,2,3,3,2,3,3,5,10,5,3,6,2,9,4,2,6,4,3,9,4,3,7,3,2,2,15,4,2,5,5,6,7,2,8,5,7,6,6,3,14,5,6,2,8,8,3,0,1,6
70,1,2,2,5,2,2,4,4,6,7,4,2,1,6,1,2,1,4,4,5,2,1,1,2,2,4,2,2,4,10,4,2,5,1,9,4,1,6,4,2,8,4,2,8,2,3,1,15,4,3,4,6,5,7,1,8,6,7,5,4,2,13,4,7,3,8,9,2,1,0,5
71,4,6,4,4,4,3,2,1,2,8,8,4,5,7,4,4,4,1,9,3,4,4,4,4,4,8,3,4,2,10,2,4,3,4,6,9,4,7,3,3,6,4,3,12,3,8,4,15,6,6,1,11,2,8,4,12,5,8,2,3,3,8,2,6,8,8,8,4,6,5,0
